ALL INPUT IS WELCOME - THANK YOU,,,,,,
RANK,LEMMA,PoS,GERMANIC,GERMANIC-LIKE,DETAILS,
51,`just,adv,"[D1|nothing more than] only, but, nothing more than [D2|by a very small margin] slightly, narrowly, barely, hardly, somewhat, tad [D3|for nothing other than] alone, only, mainly, mostly [D4|not long ago] freshly, late, lately, new, newly, now, only",merely,"[G1] I just wanted to play → All I wanted (to do) was (to) play → The only thing I wanted (to do) was (to) play
[G2] He just wants to succeed → He wants nothing (else/more) than to succeed → He wants nothing but success → He wants nothing other than success → All (that) he wanted is success
[G3] You just have/need to win → All you have/need to do is win → The only thing you have/need to do is win → You only have to win
[G4] This is just a test → This is only/but a test → This is nothing more than/but a test
[G5] He's not just strong, but... → Not only is he strong, ...
[G6] With just his shorts → With nothing but his shorts → With nothing (else) other than his shorts
[G7] Just in time for breakfast → Right on time for breakfast
[G8] He didn't do it, which is just fine → He didn't do it, which is all well and good
[G9] He just about the best → He's pretty much the best
[G10] Just so you know/understand, ...
[S] just as
[S|G9] approximately
[S|G10] remember D2",DECLUTTER EXAMPLES
51.1,`just as,phr,,,"[G1] He left just as I was coming in → He left right as/when I was coming in → He left at the same time as I was coming in
[G2] Just as you'd ... → (Much) In (much) the same way you'd ... → As you would ...
[S] equally",
51.2,`just like,phr,,,"[G1] Just like that → Like nothing happened → Like (it's) nothing → That's it → Without a hitch
[G2] He is strong, just like John → He is strong, (much) like John",
62,`people,n,"[D1|human beings in general] folk, folks, others [D2|common people] folk, folks, crowd, herd",guys,"[G1] Some people say he didn't make it → Some say he didn't make it
[G2] Other people say he didn't make it → Others say he didn't make it
[G3] Some people are kind → Some of us are kind
[S|D2] person",
68,`want,vb,"want, wish, crave, long (for), yearn (for), need, pine, hanker, seek",,"[G1] What do you want to buy? → What are you looking to buy?
[S] intend, try",
88,`because,conj,"for, since, in that, for that, as, being that, given that, seeing that, on the grounds that, inasmuch as, forasmuch as",,"[G1] He couldn't do it, because he was sick → He couldn't do it, being/given that he was sick
[G2] It died because they had no water → They had no water, so it died → Since they had no water, it died
[O3|decision] They banned him because he was threatending us → They banned him on the grounds that he was threatening us
[G4] I'm here because I care for you → I care for you, and that's why/which is why I'm here
[G5] He did it because he loves his wife → He did it because of his love for his wife
[G6] Why? Becase we had no wood → Why? (You) see, we had no wood
[G7] She is angry because John won't do it → Her anger stems from John's unwillingness to do it
[G8] I can't sleep, because there are things on my bed → I can't sleep. There are things on my bed.
[S] in the sense, reason
[S|G5] because of",
88.1,"`because of, `due to",prep,"owing to, thanks to, over, out of, for sake of, on the grounds of, by way of, as of, in the wake of",,"[G1] I feel better because of my doctor → I feel better thanks to my doctor
[G2] He got fired because of an argument → He got fired over an argument
[G3] He did it because of his love for his wife → He did it out of his love for his wife
[G4] We'll be better off because of it → We'll be better off for it
[G5] Company head steps down because of backlash → Company head steps down after backlash
[G6] It was because of his skills that he came first → It was his skills that made him come first
[S] as a result of",
91,`use,vb,"[D1|to put into action] work, handle, put (sth) to work, bring into play [D2|to take advantage of]",,"[G1] How do I use a computer? → How do I work a computer?
[G2] Using the internet can get you into trouble → Surfing the internet can get you into trouble
[G3] He used his talent for the greater good → He put his talent to work for the greater good
[G4] Using this method, we can ... → With/through this method, we can ... 
[L1] https://rootsenglish.wordpress.com/2012/08/30/use-2/
[S|D1] apply
[S|D2] make use of",
91.1,`use * to,,,,"[G1] Use the ball to play → Play with the ball
[G2] I'm using my pan to cook → I'm cooking with my pan
[G3] What are you using to cook? → What are you cooking with?
[G4] Use your gun to kill enemies → Fire your gun to kill enemies
[G5] Use your brain to solve it → Work your brain to solve it → Think to solve it
[G6] Use the ball to play → Kick the ball to play",
91.2,`use up,vb,,,[S] consume,
