Acbald,Acbald,♂,Quickened,Ācbeald,āc,beald,
Acfrith,Acfriþ,♂,Quickened,Ācfriþ,āc,friþ,"While found as the name of a Woodland in Wiltshire, that name is likely instead from OE ‘Ācfryhþ’ meaning: oak-firth (oak-woods)."
Ackerley,Ackerley,♂,Lastname,-,acer,lēah,Not a given name in OE. From the OE stow-name ‘Acerlēah’ meaning: acre-lea (ploughed-field).
Ackolph,Ackulf,♂,Quickened,Ācƿulf,āc,ƿulf,Can also be spelled: Ackulph (Anglish Spelling: Ackulf).
Ackoun,Ackune,♂,Quickened,Āchūn,āc,hūn,
Acmer,Acmer,♂,Quickened,Ācmǣr,āc,mǣr,
Acstan,Acstan,♂,Quickened,Ācstān,āc,stān,
Acton,Actun,♂,Lastname,-,āc,tūn,"Not a given name in OE. From the OE stow-name ‘Āctūn’, meaning: oak-town."
Addis,Addis,♂,Quickened,Ādhyse,ād,hyse,"Not tied to the Hebrew name ‘Addis’, which is instead a shape of ‘Adam’."
Ailbert,Ailbert,♂,Quickened,Æġelbeorht,æġel,beorht,
Ailith,Ailiþ,♀,Living,Æġelgȳþ,æġel,gȳþ,
Ailmund,Ailmund,♂,Quickened,Æġelmūnd,æġel,mūnd,Born by a king of the Lombards.
Ailnoth,Ailnoþ,♂,Quickened,Æġelnōþ,æġel,nōþ,
Ailoph,Ailuf,♂,Quickened,*Æġelƿulf,æġel,ƿulf,"Can also be spelled: Ailuph (Anglish Spelling: Ailuf). Not found in OE. Would be kin with the Italian name ‘Agilulfo’, as borne by a 500s/600s king of the Lombards."
Ailwide,Ailƿide,♂,Quickened,Æġelƿīd,æġel,ƿīd,
Aimbald,Aimbald,♂,Quickened,Ǣġenbeald,ǣġen,beald,
Ain,Ain,♂,Quickened,Ǣġen,ǣġen,-,A shortening of names starting with ‘Ain-’.
Ainmer,Ainmer,♂,Quickened,Ǣġenmǣr,ǣġen,mǣr,Can also be spelled: Aimer.
Ainar,Ainar,♂,Quickened,Ǣġenhere,ǣġen,here,Can also be spelled: Ainer.
Ainard,Ainard,♂,Quickened,Ǣġenheard,ǣġen,heard,
Aingar,Aingar,♂,Quickened,Ǣġengār,ǣġen,gār,
Ainild,Ainild,♀,Living,Ǣġenhild,ǣġen,hild,
Ainolph,Ainulf,♂,Quickened,Ǣġenƿulf,ǣġen,ƿulf,Can also be spelled: Ainnulph (Anglish Spelling: Ainnulf).
Ainsley,Ainsley,⚥,Lastname,-,"ǣġen, ān",setl + lēah,Also found as: Ansley. Not a given name in OE. From the OE stow-names ‘Ǣġenlēah’ or ‘Ānsetllēah’.
Ainsworth,Ainsƿorþ,♂,Lastname,-,ǣġen,ƿorþ,"Not a given name in OE. From the OE stow-name ‘Ǣġenƿorþ’, meaning: own/lonely-stead."
Albald,Albald,♂,Quickened,Ealdbeald,eald,beald,
Alberd,Alberd,♂,Quickened,Ealdabeard,eald,beard,From an Old English nickname meaning: old-beard.
Albert,Albert,♂,Quickened,Ealdbeorht,eald,beorht,"Not tied to the Norman name ‘Albert’; for that, see: Elbert."
Albury,Albury,♀,Quickened,Ealdburg,eald,burg,
Alchard,Alceard,♂,Quickened,Ealhheard,ealh,heard,
Alchelm,Alcelm,♂,Quickened,Ealhhelm,ealh,helm,
Alcher,Alcer,♂,Living,Ealhhere,ealh,here,Can also be spelled: Alchar (Anglish Spelling: Alcar).
Alchurl,Alcerl,♂,Quickened,Ealdċeorl,eald,ċeorl,
Aldar,Aldar,♂,Quickened,Ealdhere,eald,here,Can also be spelled: Alder.
Aldath,Aldaþ,♂,Quickened,Ealdhǣþ,eald,hǣþ,
