English,Anglish,Kind,Forebear,Kin,Background
Agust,Agust,♂,"Agust, Augustus",Augustus,"Borne by the first Roman coaser, Caesar Augustus (63BC–AD14)."
Ander,Ander,♂,"Andreas, Andreās, Ἀνδρέας (Andréas)",Andrew,Meaning: manly.
Antony,Antuny,♂,"Antonius, Antōnius, Ἄντωνιος (Ántōnios)","Anton, Anthony","Borne by the Roman hartow Mark Antony (Marcus Antonius), backer of Julius Caesar and member of the Tother Thirden. The spelling ‘Anthony’ (Anglish Spelling: Anþuny) puts forth an <h> to harken to untied Old Greek ‘ἄνθος’ (ánthos), meaning: flower."
Bendich,Bendic,♂,"Benediċ, Benedīctus",Benedict,"From the Latin word ‘benedīcō’, meaning: well-said. Borne by the Christian hallow."
Betrich,Betric,♀,"Bēatriċ, Beātrīx",Beatrice,From a Latin word meaning: blessing.
Bishop,Biscop,♂,"bisċop, episcopus, ἐπίσκοπος (epískopos)",-,Found mainly as a lastname. From the Latin word for a clergyman.
Britney,Britney,♀,"Brittānia, Βρεττανία (Brettanía)",Brittany,"Not a given name in OE. Inborn shape of the name ‘Brittany’. Borne by the British Isles, the land in France, and by American singer Britney Spears (1981 onwards)."
Chester,Cester,♂,"Ċeaster, Castra",-,"From a lastname that began as a town name found all over Great Britain and made its way into Old English from the Latin word for an army camp, ‘Castra’, which became OE ‘Ċeaster’."
Clark,Clark,♂,"clerc, clēricus, κληρικός (klērikós)",-,Not a given name in OE. From the Latin word for a clergyman.
Costantin,Costantin,♂,"Cosstāntin, Cōnstantīnus, Κωνστᾰντῖνος (Kōnstantînos)",Constantine,"Borne by the Roman coaser, Constantine I (272–337)."
Christen,Cristen,⚥,"Cristen, Christiānus, Χρῑστιᾱνός (Khrīstiānós)","Christian, Christina","From the followers of Christianity. The Anglish spelling sweltered out in the 1500s, having being upset by the spelling ‘Christian’."
Christover,Cristofer,♂,"Crīstophor, Chrīstophorus, Χρῑστόφορος (Khrīstóphoros)",Christopher,"Meaning: Christ-bearing. Borne by Italian wayfinder, Christopher Columbus (1451–1506)."
Crystal,Cristal,♀,"cristalla, crystallum, κρύσταλλος (krústallos)",-,"Can also be spelled: Cristle (Anglish Spelling: Cristel). Not a given name in OE. From the everyday word, which was found in Old English and then later shaped with a ‘y’ spelling."
Culver,Culfer,♂,"culfre, columba, κόλυμβος (kólumbos)","Columbia, Columbus",Not a given name in OE. From a Greek word meaning: a dove. Borne by Italian wayfinder Christopher Columbus (1451–1506).
Domnich,Domnic,♂,"Dominiċ, Dominicus",Dominic,Borne by a 1170s hallow of Spain.
