English,Anglish,Kind,Forebear,Language,Kin,Background
Abber,Abber,♂,Aubert,French,Albert,Its inborn kin is ‘Elbert’.
Addolph,Addolf,♂,Adolf,German,Adolph,Said with a soft ⟨a⟩. Its inborn kin would be ‘Elloph’.
Agust,Agust,♂,Augustus,Latin,August,
Agustene,Agustene,♂,Augustīnus,Latin,Augustine,
Amerigue,Amerig,♂,Amerigo,Italian,Americo,
Ammand,Ammand,⚥,"Amandus ♂, Amanda ♀",Latin,Amanda,
Antwon,Antƿon,♂,Antoine,French,Anthony,Also found as: Antwan (Antƿan).
Antony,Antony,♂,Antōnius,Latin,Anthony,
Andry,Andry,♂,André,French,Andrew,
Anlin,Anlin,♀,Anneline,French,Annalynn,
Bartolomy,Bartolomy,♂,Bartholomaeus,Latin,Bartholomew,
Bedanny,Bedanny,♀,Bedaña,Spanish,Bethany,"Can also be spelled: Beddany, for Germanic stress."
Bennidett,Bennidett,♂,Benedetto,Italian,Benedict,
Bennete,Bennete,♂,Benito,Spanish,Benedict,
Benwah,Benƿah,♂,Benoît,French,Benedict,
Blew,Bleƿ,⚥,Bleu,French,Blue,"‘Blue’ is the result of an Middle English borrowing, while this ‘Blew’ stands as a modern one."
Boleswaph,Bolesƿaf,♂,Bolesław,Polish,Boleslaw,
Brotch,Broc,♂,Broccio,Italian,Brute,
Brewse,Breƿs,♂,Bruce,French,Brute,
Borregard,Borregard,♂,Beauregarde,French,Beauregard,"A more inborn kin would be something like ‘Belreward’, assuming it doesn't contract."
Cadden,Cadden,♂,Cadenus,Latin,Caden,
Caprich,Capric,♂,Capriccio,Italian,Caprice,
Carls,Carls,♂,Carlos,Spanish,Carl,
Cashimirsh,Cascimirsc,♂,Kazimierz,Polish,Casimir,
Cassander,Cassander,⚥,Cassāndra,Latin,Cassandra,
Catering,Catering,♀,Ecaterīna,Latin,Catherine,
Catony,Catony,♂,Catone,Italian,Cato,
Chitcherony,Cicerony,♂,Cicerone,Italian,Cicero,
Chuseppy,Ceuseppy,♂,Giuseppe,Italian,Joseph,
Clew,Cleƿ,♀,Cloue,French,Chloë,
Cloey,Cloey,♀,Chlōē,Latin,Chloë,
Cloy,Cloy,♀,Cloi,French,Claude,
Conrat,Conrat,♂,Konrad,German,Conrad,Its inborn kin would be ‘Kenred’.
Cornelly,Cornelly,♂,Cornēlius,Latin,Cornelius,
Covalsk,Cofalsk,♂,Kowalski,Polish,Kowalski,Akin to the name ‘Smithson’.
Creck,Creck,♂,Creag,Scottish Gaelic,Craig,"‘Craig’ is the result of an Middle English borrowing, while this ‘Creck’ stands as a modern one."
Crestible,Crestibel,♂,Cristóbal,Spanish,Christopher,
Deague,Deag,♂,Diego,Spanish,Diego,
Debber,Debber,♂,Debra,Latin,Deborah,
Dett,Dett,♂,Dêtre,French,Dexter,
Dominick,Dominick,♂,Dominicus,Latin,Dominic,"Can also be spelled: Dominish (Dominisc), replacing the ending suffix with a native counterpart."
Egenny,Egenny,♂,Eugenius,Latin,Eugene,"Can also be spelled: Edgenny (Ecgenny), from a later pronunciation."
Enrick,Enrick,♂,Enrico,Italian,Henry,
Esavey,Esafey,♀,Esabilla,Spanish,Isabella,
Etwar,Etƿar,♂,Édouard,French,Edward,"‘Édouard’ itself comes from an Old French borrowing of ‘Ēadƿeard’, the Old English predecessor of English ‘Edward’."
Franswah,Fransƿah,⚥,"François ♂, Françoise ♀",French,Frances,"Can also be spelled: Fransway (Fransƿay), from alternate pronunciation."
Freedrish,Freedrish,♂,Friedrich,German,Frederick,Its inborn kin would be ‘Frithrich’.
Fwadiswaph,Fƿadisƿaf,♂,Władysław,Polish,Vladimir,
Gabrell,Gabrell,♂,Gabriēl,Latin,Gabriel,
Gawell,Gaƿell,♂,Gaël,Breton,Gael,
Giom,Giom,♂,Guillaume,French,William,Said with a hard ⟨g⟩. Its inborn kin would be ‘Willem’.
Gonze,Gonse,♂,Gonzo,Italian,Gonzo,
Gorghy,Gorgy,♂,Geōrgius,Latin,George,"Can also be spelled: Chordgey (Ceorcgy), from a later pronunciation."
Gutsy,Gutsy,♂,Gautier,French,Walter,Its inborn kin would be ‘Waldar’.
Hamish,Hamisc,♂,Sheumais,Scottish Gaelic,James,
Heysuse,Heysuse,♂,Jesús,Spanish,Jesus,
Hoan,Hoan,♂,Juan,Spanish,John,
Hosey,Hosey,♂,José,Spanish,Joseph,
Isabell,Isabell,♀,Isabella,Latin,Isabella,
Jack,Jack,♂,Jacques,French,Jack,Can also be spelled: Shack (Scack).
Jam,Jam,♂,James,French,James,Can also be spelled: Sham (Scam).
Jaw,Jaƿ,⚥,"Jean ♂, Jeanne ♀",French,John,Can also be spelled: Shaw (Scaƿ).
Jordge,Jorcg,♂,Georges,French,George,Can also be spelled: Shordge (Scorcg).
Jowell,Joƿell,♂,Joël,French,Joel,Can also be spelled: Showell (Scoƿell).
Juton,Jutun,♂,Jûtin,French,Justin,Can also be spelled: Shuton (Scutun).
Kellesty,Kellesty,♀,Caelestia,Latin,Celeste,"Can also be spelled: Chellesty (Cellesty), from later pronunciation."
Kevin,Kefin,♂,Caoimhín,Irish,Kevin,
Kire,Kire,♂,Cȳrus,Latin,Cyrus,"Can also be spelled: Chire (Cire), from later pronunciation."
Kiser,Kiser,♂,Caesar,Latin,Kaiser,
Kristober,Kristober,♂,Cristobro,Spanish,Christopher,
Leow,Leoƿ,♂,Léo,French,Leo,
Lisabett,Lisabet,♀,Elisabētha,Latin,Elizabeth,
Ludovick,Ludofick,♂,Ludovico,Italian,Lewis,
Luey,Luey,♂,Louis,French,Lewis,"Can also be spelled: Luwey (Luƿey), from alternate pronunciation."
Lutvich,Lutfic,♂,Ludwig,German,Lewis,Its inborn kin would be ‘Ludway’.
Luweedgey,Luƿeecgy,♂,Luigi,Italian,Lewis,‘Luigi’ itself is an Italian rendering of French ‘Louis’.
Macote,Macote,⚥,まこと (Makoto),Japanese,Macoto,Anglish IPA: /ˈməkoʊt/.
Madlen,Madlen,♀,Madeleine,French,Madeline,
Marey,Marey,♀,Marīa,Latin,Mary,"‘Mary’ is the result of an Old English borrowing, while this ‘Marey’ stands as a modern one."
